month,update_title,update_link,update_type,campaign_name,posted_by,created_date,campaign_start_date,campaign_end_date,audience,impressions,views,clicks,click_through_rate,likes,comments,shares,follows,engagement_rate,content_type,weighted_sum
6,"Chief Global Market Strategist Kristina Hooper summarizes Invesco’s Mid-Year Investment Outlook and our expectations for the second half of 2022, including asset class implications and two alternate scenarios. https://inves.co/3NwOub8",https://www.linkedin.com/feed/update/urn:li:activity:6947678085328556032,Organic,,Marquis Chester,2022-06-28,,,All followers,32,0.0,2,0.0625,0,0,0,0.0,0.0625,,0.07287669439678021
6,"Scott Baskind, Invesco’s Head of Global Private Credit and Chief Investment Officer, and Ron Kantowitz, Invesco’s Managing Director and Head of Private Debt, discuss the role private credit is playing in asset owner portfolios and how the asset class has evolved over the years. Read our full Q&A: https://inves.co/3MsBuCJ",https://www.linkedin.com/feed/update/urn:li:activity:6940309806343733248,Total,,Xavier Gill,2022-06-08,,,All followers,69961,0.0,216,0.003087434,0,0,0,0.0,0.003087434,,0.045844022274169574
6,"Scott Baskind, Invesco’s Head of Global Private Credit and Chief Investment Officer, and Ron Kantowitz, Invesco’s Managing Director and Head of Private Debt, discuss the role private credit is playing in asset owner portfolios and how the asset class has evolved over the years. Read our full Q&A: https://inves.co/3MsBuCJ",https://www.linkedin.com/feed/update/urn:li:activity:6940309806343733248,Sponsored,Direct Lending Q&A - Post 1,Xavier Gill,2022-06-08,06/09/2022,06/22/2022,All followers,69900,0.0,216,0.003090129,0,0,0,0.0,0.003090129,,0.045832372253593386
6,Kristina Hooper takes a closer look at the U.S. Federal Reserve’s more aggressive tightening path as well as a new tool announced by the European Central bank to combat market fragmentation. Will these approaches help these central banks achieve their objectives? https://inves.co/3HxZVy6,https://www.linkedin.com/feed/update/urn:li:activity:6943237649302253568,Organic,,Marquis Chester,2022-06-16,,,All followers,44,0.0,1,0.022727273,0,0,0,0.0,0.022727273,,0.02653748192081634
6,"After Friday’s record U.S. inflation number, markets expect more aggressive tightening from the Fed. And that had an impact on stocks around the world. Kristina Hooper examines the implications and what she's watching ahead. https://inves.co/3N4en21",https://www.linkedin.com/feed/update/urn:li:activity:6942561909627924480,Organic,,Marquis Chester,2022-06-14,,,All followers,61,0.0,0,0.0,1,0,0,0.0,0.016393442,,0.00868581056944035
5,"Read our latest roundtable discussion, Private Markets: Outlook and Opportunities for insights on valuations, return expectations, and more. https://inves.co/3F5ap6M ",https://www.linkedin.com/feed/update/urn:li:activity:6927965168987475968,Organic,,Jessica Huban,2022-05-05,,,All followers,28,0.0,1,0.035714287,0,0,0,0.0,0.035714287,,0.041627470521927015
5,"Read our private markets roundtable with Invesco’s Investment Solutions team for more insights on how small- to mid-sized asset owners are investing in private markets. https://inves.co/37WBvAR
",https://www.linkedin.com/feed/update/urn:li:activity:6933038622610796544,Organic,,Jessica Huban,2022-05-19,,,All followers,31,0.0,1,0.032258064,0,0,0,0.0,0.032258064,,0.03761127980918452
5,"After another wild week for markets, investors may be asking themselves whether the U.S. Federal Reserve's plan has been effective. Kristina Hooper assesses where the Fed appears to be making progress toward its goals and which issues are beyond the reach of central bank intervention. https://inves.co/3PrpYKC",https://www.linkedin.com/feed/update/urn:li:activity:6932779494940299264,Organic,,Jessica Huban,2022-05-18,,,All followers,39,0.0,1,0.025641026,0,0,0,0.0,0.025641026,,0.029922714372939134
5,,https://www.linkedin.com/feed/update/urn:li:activity:6930923115103318016,Organic,,Xavier Gill,2022-05-13,,,All followers,116,0.0,1,0.00862069,0,0,0,0.0,0.00862069,,0.010159869911832563
5,"April was a rough month for markets, but Kristina Hooper explores the “glass half full” moments that she sees within five of the key issues pressuring markets now. https://inves.co/38Y6KM9 ",https://www.linkedin.com/feed/update/urn:li:activity:6928061433385500672,Organic,,Jessica Huban,2022-05-05,,,All followers,56,0.0,0,0.0,1,0,0,0.0,0.017857144,,0.009393413451738514
4,"The ESG landscape has become more important than ever for asset owners – and the space is also evolving very quickly. Our interview with Invesco’s chief investment officer Stephanie Butcher addresses the challenge of ESG integration, the investment opportunities, and the importance of looking beyond data. https://inves.co/3NSrHrN ",https://www.linkedin.com/feed/update/urn:li:activity:6920385245221416960,Organic,,Jessica Huban,2022-04-14,,,All followers,53,0.0,1,0.018867925,0,0,0,0.0,0.018867925,,0.02205422220247571
4,What should investors be watching for this earnings season? Has US inflation peaked? What will happen in the French election? Kristina Hooper discusses these questions and more in her latest. https://inves.co/3OEmxQH,https://www.linkedin.com/feed/update/urn:li:activity:6922195850664304640,Organic,,Jessica Huban,2022-04-19,,,All followers,65,0.0,1,0.015384615,0,0,0,0.0,0.015384615,,0.018008731215019363
4,"Hawkish talk from the U.S. Federal Reserve hasn’t done much to calm investor concerns about long-term inflation, but Brian Levitt says it may yet be premature to call the end of this cycle. https://inves.co/3vjBOib",https://www.linkedin.com/feed/update/urn:li:activity:6925121904089452544,Organic,,Jessica Huban,2022-04-27,,,All followers,51,0.0,0,0.0,0,0,0,0.0,0.0,,7.754609267048871e-06
4,"“Targeted policies and ways of thinking about the implications of addressing inequity from an investment perspective are becoming increasingly important,” says Invesco’s chief investment officer, Stephanie Butcher, discussing the rising importance of ESG. Read our full interview here: https://inves.co/3NSrHrN ",https://www.linkedin.com/feed/update/urn:li:activity:6922921919738519553,Organic,,Jessica Huban,2022-04-21,,,All followers,38,0.0,0,0.0,0,0,0,0.0,0.0,,4.604299252310268e-06
4,"Kristina Hooper explores three key issues in her latest commentary: The results of the French election, falling expectations for global growth, and the hawkish Fed. https://inves.co/3Kf0RHb",https://www.linkedin.com/feed/update/urn:li:activity:6924822834615607296,Organic,,Jessica Huban,2022-04-26,,,All followers,33,0.0,0,0.0,0,0,0,0.0,0.0,,3.3926415543338814e-06
3,"With the long-anticipated March U.S. Federal Reserve meeting around the corner, investors are waiting to see whether the Federal Reserve can successfully thread the needle between inflation and growth. Our Q&A with Matt Brill tackles this question and many more fixed income topics, including the state of corporate balance sheets and where he sees opportunities in the market. https://inves.co/3Cj4WrD",https://www.linkedin.com/feed/update/urn:li:activity:6907324360965926912,Organic,,Jessica Huban,2022-03-09,,,All followers,60,0.0,1,0.016666668,3,0,1,0.0,0.083333336,,0.26585682400494587
3,"The global economy is in recovery mode. However, high inflation and the reversal of globalization are some risks on the horizon. https://inves.co/3IlH8Wh ",https://www.linkedin.com/feed/update/urn:li:activity:6905164988978446337,Total,,Jessica Huban,2022-03-03,,,All followers,68256,0.0,217,0.003179208,0,0,0,0.0,0.003179208,,0.04565466931407726
3,"The global economy is in recovery mode. However, high inflation and the reversal of globalization are some risks on the horizon. https://inves.co/3IlH8Wh ",https://www.linkedin.com/feed/update/urn:li:activity:6905164988978446337,Sponsored,2022 CMAs Boosted Post,Jessica Huban,2022-03-03,03/07/2022,03/28/2022,All followers,68227,0.0,217,0.003180559,0,0,0,0.0,0.003180559,,0.0456492118688951
3,"The Russian invasion and resulting sanctions roiled markets, but Invesco Fixed Income’s Global Debt team still believes international fixed income can outperform over the next 2-3 years, led by emerging markets. https://inves.co/35p62WR",https://www.linkedin.com/feed/update/urn:li:activity:6905611648724533248,Organic,,Jessica Huban,2022-03-04,,,All followers,62,0.0,2,0.032258064,0,0,0,0.0,0.032258064,,0.03773595212752745
3,How should institutional investors balance the need for income in an environment of rising rates? Join our panel of experts for insights into the defensive role private credit can play during a rising inflationary environment. Register here for the webcast hosted by Pensions & Investments https://lnkd.in/dBZpww4J,https://www.linkedin.com/feed/update/urn:li:activity:6912382458063650816,Organic,,Jessica Huban,2022-03-23,,,All followers,67,0.0,2,0.029850746,0,0,0,0.0,0.029850746,,0.03493931240195254
2,"The outlook for the global economy is shaping up to be a lot brighter. However, there are still risks facing asset owners. Find out how we’re positioning our portfolios for the year ahead. https://inves.co/3IlH8Wh ",https://www.linkedin.com/feed/update/urn:li:activity:6903330309283401728,Organic,,Jessica Huban,2022-02-26,,,All followers,40,0.0,3,0.075000003,4,0,0,0.0,0.174999997,,0.13889746812618237
2,"The outlook for the global economy is shaping up to be a lot brighter. However, there are still risks facing asset owners. Find out how we’re positioning our portfolios for the year ahead. https://inves.co/3IlH8Wh ",https://www.linkedin.com/feed/update/urn:li:activity:6903330309283401728,Total,,Jessica Huban,2022-02-26,,,All followers,45483,0.0,162,0.00356177,9,0,0,0.0,0.00461711,,0.041280212661293426
2,"The outlook for the global economy is shaping up to be a lot brighter. However, there are still risks facing asset owners. Find out how we’re positioning our portfolios for the year ahead. https://inves.co/3IlH8Wh ",https://www.linkedin.com/feed/update/urn:li:activity:6903330309283401728,Sponsored,2022 CMAs Boosted Post 2,Jessica Huban,2022-02-26,03/10/2022,03/31/2022,All followers,45443,0.0,159,0.003498889,5,0,0,0.0,0.004467135,,0.03785610227021726
2,"As #BlackHistoryMonth kicks off in North America, Invesco’s Black Professionals Network is proud to offer employees a month of events to reflect, educate and celebrate, all connected to our 2022 theme of “Lift Every Voice.” #GreaterPossibilitiesTogether #diversityandinclusion",https://www.linkedin.com/feed/update/urn:li:activity:6894995456611733504,Organic,,Jessica Huban,2022-02-03,,,All followers,69,0.0,1,0.014492754,0,0,0,0.0,0.014492754,,0.016973155085804947
2,"As Russian military operations began to unfold in Ukraine, Global Market Strategist Brian Levitt spoke with Paul Jackson about the current market reaction, the historical performance of stocks during past military conflicts, and his thoughts on asset allocation in this environment. https://inves.co/3IoTj4u
",https://www.linkedin.com/feed/update/urn:li:activity:6903072428990545921,Organic,,Jessica Huban,2022-02-25,,,All followers,60,9.0,0,0.0,0,0,0,0.0,0.0,Video,0.00509468135583527
1,"We expect inflation to peak in mid-2022, but what if it lasts longer than expected? Invesco Chief Economist John Greenwood discusses which asset classes we would favor in this downside scenario. https://inves.co/3sqf3b2",https://www.linkedin.com/feed/update/urn:li:activity:6886758789177974785,Organic,,Jessica Huban,2022-01-11,,,All followers,97,15.0,2,0.020618556,2,0,0,0.0,0.041237112,Video,0.044149865143814505
1,"In 2022, we expect global growth to decelerate to a more sustainable rate as fiscal stimulus is gradually removed. But what if growth ends up being stronger than we anticipate? We discuss the probability of this upside scenario, and what it could mean for portfolio construction in the year ahead. https://inves.co/3sqf3b2",https://www.linkedin.com/feed/update/urn:li:activity:6884569448058097664,Organic,,Jessica Huban,2022-01-05,,,All followers,79,3.0,1,0.012658228,1,0,0,0.0,0.025316456,Video,0.023405169209296497
1,"We expect 2022 to be a year of transition, which means some adjustments to our favored asset classes for the environment we see ahead. Read our 2022 Investment Outlook for our views on a wide variety of sectors, factors, and asset classes. https://inves.co/3sqf3b2",https://www.linkedin.com/feed/update/urn:li:activity:6889605066769080324,Organic,,Jessica Huban,2022-01-19,,,All followers,59,6.0,0,0.0,0,0,0,0.0,0.0,Video,0.0033995237700583875
1,"Emerging market underperformance has entered a late stage, but equity strategist Talley Léger says potential opportunities have begun to present themselves across the region. https://inves.co/3qEuqLM
",https://www.linkedin.com/feed/update/urn:li:activity:6889295424306352128,Organic,,Jessica Huban,2022-01-18,,,All followers,31,0.0,0,0.0,0,0,0,0.0,0.0,,2.9079784751433268e-06
